French,Russian,ExampleFrench,ExampleRussian,Emoji
compliquer,усложнять,"Ne <b>complique</b> pas les choses.","Не <b>усложняй</b>.",🤯
une satisfaction,удовлетворение,"Quelle <b>satisfaction</b> !","Какое <b>удовлетворение</b>!",😊
une annonce,объявление,"J'ai lu une <b>annonce</b>.","Я прочитал <b>объявление</b>.",📢
un mandat,мандат; ордер,"Le <b>mandat</b> d'arrêt.","Ордер на <b>арест</b>.",📜
un incendie,пожар,"Il y a un <b>incendie</b>.","Там <b>пожар</b>.",🔥
un ticket,билет; чек,"J'ai perdu mon <b>ticket</b>.","Я потерял <b>билет</b>.",🎫
une flotte,флот,"La <b>flotte</b> navigue.","<b>Флот</b> плывёт.",⛵
"absent, absente",отсутствующий,"Il est <b>absent</b>.","Он <b>отсутствует</b>.",❌
un four,духовка; печь,"Mets ça au <b>four</b>.","Поставь это в <b>духовку</b>.",🔥
geler,замерзать,"L'eau a <b>gelé</b>.","Вода <b>замёрзла</b>.",❄️
un salaire,зарплата,"Mon <b>salaire</b> est bon.","У меня хорошая <b>зарплата</b>.",💰
"préféré, préférée",любимый,"C'est mon film <b>préféré</b>.","Это мой <b>любимый</b> фильм.",❤️
"tendu, tenue",напряжённый,"L'atmosphère est <b>tendue</b>.","Атмосфера <b>напряжённая</b>.",😬
percevoir,воспринимать; получать,"Je <b>perçois</b> du bruit.","Я <b>слышу</b> шум.",👂
développer,развивать,"<b>Développe</b> ton idée.","<b>Развей</b> свою идею.",📈
aborder,подходить; затрагивать,"J'ai <b>abordé</b> le sujet.","Я <b>затронул</b> тему.",💬
"brûlant, brûlante",жгучий; горячий,"Le café est <b>brûlant</b>.","Кофе <b>горячий</b>.",☕
un bijou,украшение,"Elle porte de beaux <b>bijoux</b>.","На ней красивые <b>украшения</b>.",💎
c'est-à-dire,то есть,"<b>C'est-à-dire</b> que...","<b>То есть</b>...",💬
jaillir,бить ключом; вырываться,"L'eau <b>jaillit</b> de la source.","Вода <b>бьёт</b> из источника.",💦
une brique,кирпич,"Une maison en <b>briques</b>.","Дом из <b>кирпича</b>.",🧱
un mouchoir,платок,"Prends un <b>mouchoir</b>.","Возьми <b>платок</b>.",🤧
un éclair,молния; эклер,"J'ai vu un <b>éclair</b>.","Я видел <b>молнию</b>.",⚡
un chanteur,певец,"C'est un grand <b>chanteur</b>.","Это великий <b>певец</b>.",🎤
une conférence,конференция; лекция,"J'assiste à une <b>conférence</b>.","Я присутствую на <b>конференции</b>.",🎤
distraire,отвлекать; развлекать,"Ne me <b>distrais</b> pas.","Не <b>отвлекай</b> меня.",🎮
découper,вырезать; резать,"<b>Découpe</b> le papier.","<b>Вырежи</b> из бумаги.",✂️
sincère,искренний,"C'est une amitié <b>sincère</b>.","Это <b>искренняя</b> дружба.",❤️
déclencher,запускать; провоцировать,"Ça a <b>déclenché</b> une crise.","Это <b>спровоцировало</b> кризис.",⚡
un carnet,блокнот,"Note ça dans ton <b>carnet</b>.","Запиши это в <b>блокнот</b>.",📓
émouvoir,трогать; волновать,"Ce film m'a <b>ému</b>.","Этот фильм меня <b>тронул</b>.",😢
un bol,чашка; миска,"Un <b>bol</b> de soupe.","<b>Миска</b> супа.",🥣
un brouillard,туман,"Il y a du <b>brouillard</b>.","Там <b>туман</b>.",🌫️
décoller,отклеивать; взлетать,"L'avion <b>décolle</b>.","Самолёт <b>взлетает</b>.",✈️
"connu, connue",известный,"C'est un chanteur <b>connu</b>.","Это <b>известный</b> певец.",⭐
une déclaration,заявление,"J'ai fait une <b>déclaration</b>.","Я сделал <b>заявление</b>.",📝
une précaution,предосторожность,"Prends des <b>précautions</b>.","Прими <b>меры предосторожности</b>.",⚠️
un couvent,монастырь,"Elle vit dans un <b>couvent</b>.","Она живёт в <b>монастыре</b>.",⛪
un renseignement,справка; информация,"J'ai besoin d'un <b>renseignement</b>.","Мне нужна <b>информация</b>.",ℹ️
une dette,долг,"J'ai une <b>dette</b>.","У меня <b>долг</b>.",💸
un serveur,официант; сервер,"Le <b>serveur</b> arrive.","<b>Официант</b> идёт.",🍽️
une tente,палатка,"On dort sous la <b>tente</b>.","Мы спим в <b>палатке</b>.",⛺
un bouquet,букет,"Un <b>bouquet</b> de fleurs.","<b>Букет</b> цветов.",💐
une collection,коллекция,"J'ai une <b>collection</b> de timbres.","У меня <b>коллекция</b> марок.",🎨
raide,жёсткий; крутой,"La pente est <b>raide</b>.","Склон <b>крутой</b>.",⛷️
un gouverneur,губернатор,"Le <b>gouverneur</b> du Québec.","<b>Губернатор</b> Квебека.",🏛️
un puits,колодец,"Le <b>puits</b> est profond.","<b>Колодец</b> глубокий.",💧
rembourser,возмещать,"Je vais te <b>rembourser</b>.","Я тебе <b>верну</b> деньги.",💰
une affection,привязанность,"J'ai de l'<b>affection</b> pour lui.","Я к нему <b>привязан</b>.",❤️
un orgueil,гордость,"C'est son <b>orgueil</b> qui parle.","Это говорит его <b>гордыня</b>.",😤
un profil,профиль,"De <b>profil</b>, elle est belle.","В <b>профиль</b> она красива.",👤
une racine,корень,"Les <b>racines</b> de l'arbre.","<b>Корни</b> дерева.",🌳
fantastique,фантастический,"C'est <b>fantastique</b> !","Это <b>фантастика</b>!",🤩
une canne,трость,"Il marche avec une <b>canne</b>.","Он ходит с <b>тростью</b>.",🦯
défaire,развязывать; разрушать,"<b>Défais</b> le nœud.","<b>Развяжи</b> узел.",🔗
un beurre,масло (сливочное),"Mets du <b>beurre</b> sur le pain.","Намажь <b>масло</b> на хлеб.",🧈
gémir,стонать,"Il <b>gémit</b> de douleur.","Он <b>стонет</b> от боли.",😣
un cigare,сигара,"Il fume un <b>cigare</b>.","Он курит <b>сигару</b>.",🚬
un cavalier,всадник,"Le <b>cavalier</b> galope.","<b>Всадник</b> скачет.",🏇
tiède,тёплый (не горячий),"L'eau est <b>tiède</b>.","Вода <b>тёплая</b>.",🌡️
"lumineux, lumineuse",светящийся; яркий,"Une idée <b>lumineuse</b>.","<b>Блестящая</b> идея.",💡
une poésie,поэзия,"J'aime la <b>poésie</b>.","Я люблю <b>поэзию</b>.",📜
un volet,ставня; раздел,"Ferme les <b>volets</b>.","Закрой <b>ставни</b>.",🪟
encourager,поощрять; воодушевлять,"Je t'<b>encourage</b> à continuer.","Я тебя <b>подбадриваю</b> продолжать.",👏
un pli,складка; письмо,"Le <b>pli</b> du pantalon.","<b>Складка</b> на брюках.",👖
précéder,предшествовать,"Le jour qui <b>précède</b>.","<b>Предшествующий</b> день.",⏮️
une grève,забастовка,"Les ouvriers font <b>grève</b>.","Рабочие <b>бастуют</b>.",✊
un assaut,штурм; атака,"L'<b>assaut</b> a commencé.","<b>Штурм</b> начался.",⚔️
"vilain, vilaine",скверный; некрасивый,"C'est <b>vilain</b> de mentir.","<b>Нехорошо</b> врать.",😬
un procureur,прокурор,"Le <b>procureur</b> accuse.","<b>Прокурор</b> обвиняет.",⚖️
un soulier,туфля,"J'ai acheté des <b>souliers</b>.","Я купил <b>туфли</b>.",👞
une fierté,гордость,"C'est ma <b>fierté</b>.","Это моя <b>гордость</b>.",🏆
un cuisinier,повар,"Le <b>cuisinier</b> prépare le repas.","<b>Повар</b> готовит еду.",👨‍🍳
un innocent,невинный,"C'est un <b>innocent</b>.","Он <b>невиновен</b>.",😇
une brume,дымка; туман,"Il y a de la <b>brume</b>.","Есть <b>туман</b>.",🌫️
un bonbon,конфета,"Tu veux un <b>bonbon</b> ?","Хочешь <b>конфетку</b>?",🍬
"brutal, brutale",жестокий; резкий,"C'est un homme <b>brutal</b>.","Это <b>жестокий</b> человек.",😠
"local, locale",местный,"C'est un journal <b>local</b>.","Это <b>местная</b> газета.",📰
"pourri, pourrie",гнилой,"La pomme est <b>pourrie</b>.","Яблоко <b>гнилое</b>.",🍎
balader,гулять (разг.),"Je me <b>balade</b> dans le parc.","Я <b>гуляю</b> в парке.",🚶
une panique,паника,"Pas de <b>panique</b> !","Без <b>паники</b>!",😱
planquer,прятать (разг.),"<b>Planque</b> ça !","<b>Спрячь</b> это!",🙈
un anneau,кольцо; обруч,"Un <b>anneau</b> d'or.","<b>Золотое</b> кольцо.",💍
étrangler,душить,"Il a essayé de l'<b>étrangler</b>.","Он пытался её <b>задушить</b>.",😰
un amoureux,влюблённый,"C'est mon <b>amoureux</b>.","Это мой <b>возлюбленный</b>.",❤️
un collier,ожерелье; ошейник,"Elle porte un <b>collier</b>.","На ней <b>ожерелье</b>.",📿
une terreur,террор; ужас,"C'est la <b>terreur</b>.","Это <b>террор</b>.",😱
"international, internationale",международный,"C'est un vol <b>international</b>.","Это <b>международный</b> рейс.",🌍
une exécution,казнь; исполнение,"L'<b>exécution</b> du plan.","<b>Исполнение</b> плана.",📋
"intact, intacte",нетронутый,"C'est <b>intact</b>.","Это <b>нетронуто</b>.",✅
timide,робкий,"Elle est <b>timide</b>.","Она <b>робкая</b>.",😳
une littérature,литература,"La <b>littérature</b> française.","Французская <b>литература</b>.",📚
"gratuit, gratuite",бесплатный,"C'est <b>gratuit</b>.","Это <b>бесплатно</b>.",🆓
affecter,влиять; назначать,"Ça m'a beaucoup <b>affecté</b>.","Это меня сильно <b>задело</b>.",😢
