French,Russian,ExampleFrench,ExampleRussian,Emoji
un trou,дыра,"Il y a un <b>trou</b> dans le mur.","В стене <b>дыра</b>.",🕳️
un patron,начальник; хозяин,"Le <b>patron</b> veut te voir.","<b>Начальник</b> хочет тебя видеть.",👔
soupçonner,подозревать,"Je te <b>soupçonne</b> de mentir.","Я <b>подозреваю</b> тебя во лжи.",🤨
un dîner,ужин (Квебек: обед),"Le <b>dîner</b> est servi.","<b>Ужин</b> подан.",🍽️
prouver,доказывать,"Je peux le <b>prouver</b>.","Я могу это <b>доказать</b>.",✅
un phénomène,феномен; явление,"C'est un <b>phénomène</b> naturel.","Это природное <b>явление</b>.",🌪️
une surprise,сюрприз,"J'ai une <b>surprise</b> pour toi.","У меня для тебя <b>сюрприз</b>.",🎁
fondre,плавить; таять,"La neige <b>fond</b>.","Снег <b>тает</b>.",❄️
poursuivre,преследовать; продолжать,"La police le <b>poursuit</b>.","Полиция его <b>преследует</b>.",🚔
mépriser,презирать,"Je <b>méprise</b> les menteurs.","Я <b>презираю</b> лжецов.",😤
un salon,гостиная; салон,"Viens dans le <b>salon</b>.","Иди в <b>гостиную</b>.",🛋️
une lutte,борьба,"C'est une <b>lutte</b> difficile.","Это тяжёлая <b>борьба</b>.",💪
un départ,отъезд; старт,"Le <b>départ</b> est à huit heures.","<b>Отправление</b> в восемь.",🚀
un appartement,квартира,"Je loue un <b>appartement</b>.","Я снимаю <b>квартиру</b>.",🏢
surprendre,удивлять,"Tu m'as <b>surpris</b>.","Ты меня <b>удивил</b>.",😲
un sac,сумка; мешок,"J'ai mis tout dans mon <b>sac</b>.","Я положил всё в <b>сумку</b>.",👜
un actrice,актриса,"C'est une <b>actrice</b> célèbre.","Это известная <b>актриса</b>.",🎬
un lundi,понедельник,"On se voit <b>lundi</b>.","Увидимся в <b>понедельник</b>.",📅
courageux,смелый,"Tu es très <b>courageux</b>.","Ты очень <b>смелый</b>.",🦁
un spectateur,зритель,"Les <b>spectateurs</b> applaudissent.","<b>Зрители</b> аплодируют.",👏
un wagon,вагон,"Le <b>wagon</b> est plein.","<b>Вагон</b> полон.",🚃
étonner,удивлять,"Ça m'<b>étonne</b>.","Меня это <b>удивляет</b>.",😮
une église,церковь,"L'<b>église</b> est ancienne.","<b>Церковь</b> старинная.",⛪
un indien,индеец; индиец,"C'est un plat <b>indien</b>.","Это <b>индийское</b> блюдо.",🍛
traverser,пересекать,"<b>Traverse</b> la rue prudemment.","<b>Переходи</b> улицу осторожно.",🚶
une dot,приданое,"Elle a une belle <b>dot</b>.","У неё хорошее <b>приданое</b>.",💰
marier,женить; выдавать замуж,"Ils vont se <b>marier</b>.","Они <b>поженятся</b>.",💒
un seigneur,господин; сеньор,"Le <b>seigneur</b> du château.","<b>Хозяин</b> замка.",👑
arranger,устраивать; улаживать,"Je vais <b>arranger</b> ça.","Я это <b>улажу</b>.",✅
une scène,сцена,"Il est monté sur <b>scène</b>.","Он вышел на <b>сцену</b>.",🎭
un verbe,глагол,"Conjugue ce <b>verbe</b>.","Проспрягай этот <b>глагол</b>.",📝
un soir,вечер,"Ce <b>soir</b>, on sort.","<b>Вечером</b> выходим.",🌙
un prêt,заём,"J'ai demandé un <b>prêt</b> à la banque.","Я попросил <b>кредит</b> в банке.",💳
un milliard,миллиард,"Un <b>milliard</b> de dollars.","<b>Миллиард</b> долларов.",💰
un pneu,шина,"Le <b>pneu</b> est crevé.","<b>Шина</b> спущена.",🚗
un geste,жест,"Un <b>geste</b> de la main.","<b>Жест</b> рукой.",👋
une province,провинция,"Le Québec est une <b>province</b>.","Квебек — это <b>провинция</b>.",🗺️
une liberté,свобода,"La <b>liberté</b> d'expression.","<b>Свобода</b> слова.",🗽
serrer,сжимать; обнимать,"<b>Serre</b>-moi fort.","<b>Обними</b> меня крепко.",🤗
un sentiment,чувство,"J'ai un <b>sentiment</b> étrange.","У меня странное <b>чувство</b>.",❤️
facilement,легко,"C'est <b>facilement</b> réparable.","Это <b>легко</b> починить.",👍
un matin,утро,"Ce <b>matin</b>, je me suis levé tôt.","<b>Утром</b> я встал рано.",🌅
une garde,охрана; стража,"La <b>garde</b> surveille l'entrée.","<b>Охрана</b> следит за входом.",💂
un compte,счёт,"Ouvre un <b>compte</b> bancaire.","Открой банковский <b>счёт</b>.",🏦
écrire,писать,"J'<b>écris</b> une lettre.","Я <b>пишу</b> письмо.",✍️
un instrument,инструмент,"La guitare est mon <b>instrument</b> préféré.","Гитара — мой любимый <b>инструмент</b>.",🎸
définir,определять,"<b>Définis</b> ce mot.","<b>Определи</b> это слово.",📖
souffrir,страдать,"Je <b>souffre</b> de maux de tête.","Я <b>страдаю</b> от головных болей.",😣
dangereux,опасный,"C'est <b>dangereux</b>.","Это <b>опасно</b>.",⚠️
un combat,бой,"C'est un <b>combat</b> difficile.","Это тяжёлый <b>бой</b>.",⚔️
un prix,цена; приз,"Quel est le <b>prix</b> ?","Какая <b>цена</b>?",💵
